session_id,attacker_id,attacker_profile,timestamp,attacker_input,honeypot_response,attack_type,risk_level,response_success,current_privileges,failed_attempts,session_position,attack_phase,engagement_time,hawkes_intensity,frustration_level,temporal_phase,deception_triggered,data_collected,privilege_escalation_attempt,high_risk_activity,system_state_hash,time_since_session_start,commands_per_minute
1,0,script_kiddie,2025-05-24 23:37:09.151764,cat /etc/passwd,"root:x:0:0:root:/root:/bin/bash
daemon:x:1:1:daemon:/usr/sbin:/usr/sbin/nologin
bin:x:2:2:bin:/bin:/...",reconnaissance,2,True,False,0,1,initial_recon,0.722429143420205,0.1,0.0,initial_recon,0,0,0,0,-8958916735605131775,0.722429143420205,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:09.874193,whoami,user,reconnaissance,1,False,False,1,2,initial_recon,0.1978115169510818,0.3611244324427067,0.0,initial_recon,0,0,0,0,-8958916735605131775,0.9202406603712868,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:10.072005,ls -la,"total 48
drwxr-xr-x 2 user user 4096 May 24 18:00 .
drwxr-xr-x 3 user user 4096 May 20 10:30 ..
-rw-...",reconnaissance,1,True,False,0,3,initial_recon,0.1031735594506203,0.3802174795726448,0.2,initial_recon,0,0,0,0,-8958916735605131775,1.0234142198219072,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:10.175178,cat admin_backup.sql,"-- MySQL dump 10.13  Distrib 8.0.28, for Linux (x86_64)
-- Host: localhost    Database: company_db
-...",data_exfiltration,3,True,False,0,4,initial_recon,2.7388405414968244,0.3404433312290368,0.1,initial_recon,1,1,0,0,-8958916735605131775,3.762254761318732,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:12.914019,cat private_key.pem,"-----BEGIN RSA PRIVATE KEY-----
MIIEpAIBAAKCAQEA2K8Qn5mJ7vL9sF2nR8tY3kP6wE9xC4vB7mN1qS8dF5gH2jK
L9pM...",data_exfiltration,4,True,False,0,5,initial_recon,2.496489961801186,0.4055211917463701,0.0,initial_recon,1,1,0,1,-8958916735605131775,6.258744723119918,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:15.410509,ls,admin_backup.sql  private_key.pem  server_credentials.txt  passwords.txt  api_keys.txt  .bash_histor...,reconnaissance,1,True,False,0,6,initial_recon,1.3002006421789134,0.3711086949187732,0.0,initial_recon,1,0,0,0,-8958916735605131775,7.558945365298831,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:16.710709,cat private_key.pem,"-----BEGIN RSA PRIVATE KEY-----
MIIEpAIBAAKCAQEA2K8Qn5mJ7vL9sF2nR8tY3kP6wE9xC4vB7mN1qS8dF5gH2jK
L9pM...",data_exfiltration,4,True,False,0,7,initial_recon,0.3497362727143461,0.2930493546530344,0.0,initial_recon,1,1,0,1,-8958916735605131775,7.908681638013177,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:17.060446,ls -la,"total 48
drwxr-xr-x 2 user user 4096 May 24 18:00 .
drwxr-xr-x 3 user user 4096 May 20 10:30 ..
-rw-...",reconnaissance,1,True,False,0,8,initial_recon,0.1,0.2278806851144421,0.0,initial_recon,1,0,0,0,-8958916735605131775,8.008681638013178,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:17.160446,cat admin_backup.sql,"-- MySQL dump 10.13  Distrib 8.0.28, for Linux (x86_64)
-- Host: localhost    Database: company_db
-...",data_exfiltration,3,True,False,0,9,initial_recon,0.5455668153642855,0.1833399668395822,0.0,initial_recon,1,1,0,0,-8958916735605131775,8.554248453377463,16.76279621070162
1,0,script_kiddie,2025-05-24 23:37:17.706012,cat /etc/passwd,"root:x:0:0:root:/root:/bin/bash
daemon:x:1:1:daemon:/usr/sbin:/usr/sbin/nologin
bin:x:2:2:bin:/bin:/...",reconnaissance,2,True,False,0,10,initial_recon,0.1279899272271983,0.1549261307299484,0.0,initial_recon,1,0,0,0,-8958916735605131775,8.68223838060466,16.76279621070162
